id,Rule,Quantity,Occurrences,Time sequence,Time sequence (original),"Notes 
(“Consequences”)"
1,“Voldemort” or voldemort shows up,3,,"0:20:17
2:07:42
2:07:43
2:07:44
2:08:18
2:09:38
2:12:27
2:19:48
2:20:20
2:20:42
2:22:51
2:23:14","20:17
2:07:42
2:07:43
2:07:44
2:08:18
2:09:38
2:12:27
2:19:48
2:20:20
2:20:42
2:22:51
2:23:14",
2,“Chamber of secrets”,5,,"0:44:18
0:49:04
0:50:14
0:51:20
0:51:28
1:03:05
1:03:07
1:24:14
1:28:38
1:33:38
1:37:33
1:38:35
1:45:58
1:45:59
1:51:00
1:54:35
1:58:23
2:05:54","44:18
49:04
50:14
51:20
51:28
1:03:05 x2
1:24:14
1:28:38
1:33:38
1:37:33
1:38:35
1:45:58 x2
1:51:00
1:54:35
1:58:23
2:05:54",
,“Moaning Myrtle”,,,"1:03:43
1:03:44
1:03:45 
1:03:46 
1:26:02
1:53:45","1:03:43 x4
1:25:00 (she shows up)
1:26:02
1:53:45",
,“Hogwarts”,,,"0:05:00
0:06:10
0:07:10
0:13:55
0:49:17
0:49:50
0:51:31
1:01:31
1:02:57
1:31:01
1:32:27
1:40:44
1:41:30
1:54:18
2:29:47","5:00
6:10
7:10
13:55
49:17
49:50
51:31
1:01:31
1:02:57
1:31:01
1:32:27
1:40:44
1:41:30
1:54:18
2:29:47",
4,“magic”,1,,"0:01:15
0:40:43
0:49:57
0:49:59
0:50:43
1:39:08
2:07:35
2:17:54","1:15
40:43
49:57 x2
50:43
1:39:08
2:07:35
2:17:54",
,“Platform 9 and ¾”,,,0:29:02,"(5x go in 22:50)
29:02",
,“Gryffindor” or any house is mentioned or listed in text,,,"0:29:58
0:30:30
0:33:39
0:34:51
0:38:20
0:38:22
0:38:23
0:38:54
0:45:43
0:49:30
0:49:32
0:49:34
0:49:36
0:49:47
0:50:08
0:50:39
0:51:05
0:51:31
0:51:36
0:51:38
0:51:54
0:52:48
0:53:47
0:53:49
0:57:35
1:10:09
1:10:12
1:14:42
1:21:36
1:23:32
1:35:23
1:35:52
1:54:02
2:07:09
2:08:18
2:09:38
2:20:20
2:20:35
2:20:56
2:21:11
2:21:14","29:58
30:30
33:39
34:51
38:20 x3
38:54
45:43
49:30 x4 (talking about the houses)
49:47
50:08
50:39
51:05
51:31
51:36 x2
51:54
52:48
53:47 x2
57:35
1:10:09 x2
1:14:42
1:21:36
1:23:32
1:35:23
1:35:52
1:54:02
2:07:09
2:08:18
2:09:38
2:20:20
2:20:35
2:20:56
2:21:11
2:21:14",
,"“Famous” counter, or anyone references how he is a celebrity",,,,,
,“Harry Potter” (saying it in full),,,"0:01:20
0:03:05
0:04:57
0:05:00
0:06:15 
0:06:26
0:06:30
0:06:33
0:07:10
0:07:12
0:12:50
0:18:34
0:18:36
0:19:46
0:57:35
0:59:40
1:00:00 
1:00:01 
1:00:03
1:00:44 
1:01:31
1:01:33
1:23:24
1:28:13
2:09:38
2:25:44
2:26:16","1:20
3:05
4:57 x2
6:15 
6:26
6:30
6:33
7:10 x2
12:50
18:34 x2
19:46
57:35
59:40
1:00:00 x3
1:00:44 
1:01:31 x2
1:23:24
1:28:13
2:09:38
2:25:44
2:26:16",
,Anytime someone says “Potter” as if it a derogatory term,,,"0:19:50
0:19:52
0:45:03
1:23:37
2:21:47
2:23:30","19:50 x2
45:03
1:23:37
2:21:47
2:23:30",
