Rule,Time sequence
"""Savvy""","00:46:23
00:50:14
00:51:10
00:53:41
"
"""Captain""","00:17:43
00:17:48
00:19:41
00:36:47
00:38:11
00:42:47
00:46:19
00:54:27
00:54:31
01:05:59
01:16:59
01:17:07
01:35:41
01:39:33
01:42:19
01:42:22
01:42:32
01:46:39
02:04:55
02:04:56
02:12:27
"
"""Jack Sparrow""","00:17:39
00:17:43
00:19:40
00:27:11
00:34:38
00:34:47
00:36:48
00:41:40
00:42:41
00:46:20
01:16:21
01:17:02
01:17:09
01:35:43
01:41:58
01:43:59
02:04:54
02:04:55
"
"""Pirate(s)""","00:01:03
00:01:04
00:01:06
00:01:25
00:01:34
00:01:35
00:03:12
00:04:16
00:17:30
00:18:17
00:18:30
00:22:49
00:22:50
00:23:02
00:25:07
00:26:28
00:28:00
00:34:36
00:38:39
00:40:50
00:40:51
00:41:52
00:43:09
00:46:47
00:47:56
00:48:15
00:49:12
00:49:20
00:49:25
00:50:00
00:50:02
00:50:20
00:56:07
01:06:43
01:09:26
01:09:28
01:16:12
01:17:44
01:19:13
01:19:30
01:37:00
01:37:22
01:40:11
01:40:22
01:40:37
01:43:51
01:58:22
01:58:33
02:08:02
02:11:29
"
"""ship""","00:12:19
00:12:24
00:12:36
00:12:41
00:12:52
00:13:09
00:13:09
00:13:24
00:13:39
00:13:57
00:17:46
00:39:17
00:44:41
00:44:43
00:44:46
00:46:14
00:46:18
00:46:33
00:47:54
00:48:08
01:25:57
01:35:17
01:37:42
01:46:30
01:46:33
01:58:17
02:03:02
02:04:27
"
"""parlay""","00:34:27
00:34:29
00:34:31
00:34:44
00:38:10
00:38:19
01:15:32
01:15:43
01:15:46
01:15:48
01:15:52
01:30:49
02:03:00
"
"""rum""","01:36:14
01:36:39
01:38:13
01:39:12
01:39:13
01:39:14
01:39:27
"
"""monkey""",
"""cortez""","00:56:14
00:56:24
01:10:47
"
whenever the code is referred to,"00:34:51
00:34:52
00:34:52
00:40:59
01:07:59
01:09:22
01:09:24
01:16:33
01:42:02
01:58:18
01:58:19
01:58:23
"
whenever you see the medallion or someone talks about it,"00:03:57
00:04:44
00:05:10
00:15:51
00:16:51
00:18:45
00:28:41
00:34:06
00:38:57
00:56:00
00:58:02
00:59:51
01:04:30
01:10:52
01:12:06
01:13:41
01:14:47
01:18:36
01:26:34
01:27:42
01:29:01
01:29:55
01:30:46
01:44:26
01:45:13
01:55:57
02:00:12
02:01:07
"
whenever you see the black pearl,"00:04:49
00:29:55
00:38:02
00:54:11
01:23:14
01:25:07
02:09:59
02:11:53
"
whenever theme music plays,"00:02:17
00:08:53
00:15:41
00:15:59
00:20:16
00:21:38
00:29:01
00:31:46
00:34:11
00:44:38
00:45:10
00:46:56
00:50:35
00:57:44
00:59:02
01:03:16
01:04:56
01:11:52
01:16:03
01:18:27
01:21:24
01:22:35
01:26:41
01:28:45
01:30:28
01:34:56
01:38:05
01:44:34
01:46:21
01:48:08
01:52:32
01:53:55
01:56:16
01:58:55
02:03:58
02:06:39
02:09:50
02:11:40
"
"when there's a sword fight, drink for each camera cut / shot","00:22:42
00:22:44
00:22:46
00:22:54
00:23:03
00:23:06
00:23:08
00:23:11
00:23:12
00:23:14
00:23:15
00:23:16
00:23:18
00:23:21
00:23:22
00:23:27
00:23:29
00:23:31
00:23:34
00:23:36
00:23:37
00:23:39
00:23:42
00:23:47
00:24:13
00:24:19
00:24:20
00:24:22
00:24:23
00:24:24
00:24:26
00:24:27
00:24:28
00:24:29
00:24:30
00:24:31
00:24:32
00:24:33
00:24:34
00:24:36
00:24:37
00:24:39
00:24:40
00:24:41
00:24:42
00:24:44
00:24:46
00:24:48
00:24:50
00:24:52
00:25:10
00:25:11
00:25:16
00:25:19
00:25:20
00:25:21
00:25:24
00:25:25
00:25:31
00:25:33
00:25:35
00:25:36
00:25:41
00:25:50
00:25:51
00:25:59
00:26:00
00:26:03
00:26:06
00:26:08
00:26:14
00:26:22
00:31:24
00:31:25
00:31:26
00:35:01
00:35:04
00:35:08
01:26:08
01:28:57
01:28:57
01:28:58
01:28:58
01:29:06
01:29:09
01:50:56
01:51:32
01:51:32
01:51:35
01:51:37
01:51:40
01:52:28
01:52:29
01:52:30
01:52:34
01:52:35
01:52:38
01:52:39
01:52:40
01:52:43
01:52:45
01:52:47
01:52:51
01:54:04
01:54:28
01:55:13
01:55:14
01:55:17
01:56:00
01:56:02
01:56:03
01:56:06
01:56:09
01:56:10
01:56:11
01:57:05
01:57:07
01:57:11
01:57:22
01:57:24
01:57:30
01:59:03
01:59:05
01:59:07
01:59:09
01:59:11
01:59:13
01:59:15
01:59:17
01:59:18
01:59:20
01:59:23
01:59:25
01:59:30
01:59:37
01:59:46
02:00:17
02:00:18
02:00:20
02:00:29
02:00:58
02:00:59
02:07:09
02:07:10
02:07:10
02:07:30
"
whenever Gibbs gives words of wisdom,"00:00:58
00:01:11
00:01:18
00:51:47
00:52:54
00:54:04
01:03:00
01:05:34
"
whenever Elizabeth gets wet (water or other),"00:15:13
01:14:12
01:33:46
"
whenever Jack does a physically impossible stunt,"00:19:50
00:20:25
01:36:44
"
"whenever someone drinks on screen, drink with them","00:01:46
00:01:47
00:52:31
00:52:37
00:54:00
00:54:01
01:38:33
01:38:34
01:38:35
01:38:38
01:38:39
01:38:40
01:38:42
"
every ariel shot of a ship,"00:09:07
00:50:42
01:05:03
01:05:07
01:21:37
01:32:53
01:48:31
"
whenever the camera goes underwater,"00:45:13
01:35:01
01:48:36
01:49:31
"
"""Tortuga""","00:13:58
00:50:11
00:50:31
00:50:32
00:51:08
01:05:54
01:09:42
"
problems caused by the coursett,"00:06:59
00:11:41
00:14:34
00:15:04
00:17:19
02:00:04
02:06:28
"
